question,model_answer,student_answer,human_score
"Explain Internet of Things (IoT).","IoT refers to the interconnection of everyday physical devices to the internet, enabling them to send and receive data.","Internet of Things is when all electronics are connected to one computer at home.",5
"Explain Internet of Things (IoT).","IoT refers to the interconnection of everyday physical devices to the internet, enabling them to send and receive data.","IoT is when machines and devices communicate over the internet to work smartly.",8
"Describe 5G technology.","5G is the fifth generation of mobile network technology offering higher speeds, lower latency, and greater capacity than previous generations.","5G gives faster internet and better connectivity than 4G.",9
"Describe 5G technology.","5G is the fifth generation of mobile network technology offering higher speeds, lower latency, and greater capacity than previous generations.","It is WiFi for mobile phones.",4
"Describe 5G technology.","5G is the fifth generation of mobile network technology offering higher speeds, lower latency, and greater capacity than previous generations.","5G allows more devices to connect with faster speeds and less delay.",8
"Explain renewable vs non-renewable resources.","Renewable resources can replenish naturally over time, while non-renewable resources are finite and deplete with use.","Renewable resources like sunlight and wind can be used again, unlike coal and oil.",9
"Explain renewable vs non-renewable resources.","Renewable resources can replenish naturally over time, while non-renewable resources are finite and deplete with use.","Renewable means reusable, and non-renewable means single-use items like plastic.",3
"Explain renewable vs non-renewable resources.","Renewable resources can replenish naturally over time, while non-renewable resources are finite and deplete with use.","Sun, wind, and water are renewable, while gas and coal are non-renewable.",8
"Explain cyber security.","Cyber security is the practice of protecting systems, networks, and data from digital attacks, theft, and damage.","Cyber security protects computers and networks from hackers.",9
"Explain cyber security.","Cyber security is the practice of protecting systems, networks, and data from digital attacks, theft, and damage.","It is installing antivirus only.",3
"Explain cyber security.","Cyber security is the practice of protecting systems, networks, and data from digital attacks, theft, and damage.","Cyber security includes firewalls, encryption, and monitoring to protect data.",8
"Who wrote 'Pride and Prejudice'?","Jane Austen wrote 'Pride and Prejudice', published in 1813.","Jane Austen wrote Pride and Prejudice.",9
"Who wrote 'Pride and Prejudice'?","Jane Austen wrote 'Pride and Prejudice', published in 1813.","It was written by Emily Brontë.",2
"Who wrote 'Pride and Prejudice'?","Jane Austen wrote 'Pride and Prejudice', published in 1813.","The author is Jane Austen, a famous English novelist.",8
"Summarize 'Romeo and Juliet'.","'Romeo and Juliet' is a tragedy by William Shakespeare about two young lovers from feuding families whose deaths ultimately reconcile their families.","Romeo and Juliet are lovers from rival families who die to be together.",8
"Summarize 'Romeo and Juliet'.","'Romeo and Juliet' is a tragedy by William Shakespeare about two young lovers from feuding families whose deaths ultimately reconcile their families.","It is a comedy about love and marriage.",2
"Summarize 'Romeo and Juliet'.","'Romeo and Juliet' is a tragedy by William Shakespeare about two young lovers from feuding families whose deaths ultimately reconcile their families.","The play tells of two lovers from feuding families whose tragic deaths end the feud.",9
"Who was Mahatma Gandhi?","Mahatma Gandhi was an Indian leader who led the non-violent independence movement against British colonial rule.","He was an Indian leader who fought the British without violence.",9
"Who was Mahatma Gandhi?","Mahatma Gandhi was an Indian leader who led the non-violent independence movement against British colonial rule.","He was a king in India during the Mughal empire.",1
"Who was Mahatma Gandhi?","Mahatma Gandhi was an Indian leader who led the non-violent independence movement against British colonial rule.","He led India's freedom struggle using non-violent protests and civil disobedience.",8
"Explain the Great Depression.","The Great Depression was a severe worldwide economic downturn during the 1930s, starting with the 1929 U.S. stock market crash and lasting about a decade.","It was a big economic crisis in the 1930s after the stock market crashed.",8
"Explain the Great Depression.","The Great Depression was a severe worldwide economic downturn during the 1930s, starting with the 1929 U.S. stock market crash and lasting about a decade.","It was a small recession in the 1970s.",1
"Explain the Great Depression.","The Great Depression was a severe worldwide economic downturn during the 1930s, starting with the 1929 U.S. stock market crash and lasting about a decade.","It was a long global economic crisis in the 1930s after the market crash of 1929.",9
"What is inflation?","Inflation is the sustained increase in the general price level of goods and services in an economy over a period of time.","Inflation means prices go up over time.",9
"What is inflation?","Inflation is the sustained increase in the general price level of goods and services in an economy over a period of time.","Inflation is when the currency becomes heavier.",1
"What is inflation?","Inflation is the sustained increase in the general price level of goods and services in an economy over a period of time.","It is when the value of money decreases and goods cost more over time.",8
"Who was William Shakespeare?","William Shakespeare was an English playwright, poet, and actor, widely regarded as the greatest writer in the English language.","Shakespeare was an English writer and playwright.",9
"Who was William Shakespeare?","William Shakespeare was an English playwright, poet, and actor, widely regarded as the greatest writer in the English language.","Shakespeare was a Roman emperor.",1
"Who was William Shakespeare?","William Shakespeare was an English playwright, poet, and actor, widely regarded as the greatest writer in the English language.","He was an English poet, actor, and playwright, often called the Bard of Avon.",8
"Explain supply and demand.","Supply and demand is an economic model describing how prices are determined in a market based on the relationship between the availability of goods (supply) and the desire for them (demand).","Supply and demand means when supply is low and demand is high, prices go up.",9
"Explain supply and demand.","Supply and demand is an economic model describing how prices are determined in a market based on the relationship between the availability of goods (supply) and the desire for them (demand).","Supply and demand means the more goods available, the higher the price.",2
"Explain supply and demand.","Supply and demand is an economic model describing how prices are determined in a market based on the relationship between the availability of goods (supply) and the desire for them (demand).","Prices are affected by how much of a product exists and how much people want it.",8

